pool_size,actual_pool_size,repeat,tasks,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,n
50,50,14,87,0.9310344827586207,0.9770114942528736,1.0,1.0,0.7798303229337712,0.8641488779419814,0.91559934318555,0.9591954022988506,0.8900501907320306,87
50,50,15,87,0.9080459770114943,0.9655172413793104,0.9885057471264368,0.9885057471264368,0.7568418171866448,0.8415435139573071,0.8878215654077724,0.9381226053639846,0.8658736745043619,87
50,50,16,87,0.896551724137931,0.9770114942528736,0.9885057471264368,1.0,0.7752326217843459,0.8599343185550082,0.9090859332238642,0.9383141762452107,0.8804798315717204,87
50,50,17,87,0.896551724137931,0.9655172413793104,0.9655172413793104,0.9885057471264368,0.7572249589490969,0.8143404488232074,0.9037219485495348,0.9348659003831418,0.8691122998176464,87
50,50,18,87,0.9080459770114943,0.9770114942528736,0.9885057471264368,0.9885057471264368,0.7773399014778325,0.8584017515051998,0.9056376573617952,0.9415708812260536,0.8745307326087802,87
50,50,19,87,0.9195402298850575,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.7762725779967159,0.8437328954570333,0.9075533661740558,0.9425287356321839,0.8738792801772711,87
100,100,0,87,0.8850574712643678,0.9540229885057471,0.9655172413793104,0.9885057471264368,0.7334701696770662,0.80311986863711,0.876135741652983,0.9234172596241562,0.8474353724880345,87
100,100,1,87,0.896551724137931,0.9540229885057471,0.9885057471264368,0.9885057471264368,0.7277230432402846,0.8366447728516694,0.8713464696223316,0.9289272030651341,0.8458315874515423,87
100,100,2,87,0.8850574712643678,0.9540229885057471,0.9770114942528736,0.9885057471264368,0.7328954570333881,0.8296661193212918,0.8723043240284619,0.9233716475095786,0.8457688119124906,87
100,100,3,87,0.9080459770114943,0.9655172413793104,0.9770114942528736,0.9885057471264368,0.7424740010946907,0.8172140120415983,0.8684729064039409,0.9369731800766283,0.8489805197924315,87
100,100,4,87,0.8735632183908046,0.9540229885057471,0.9885057471264368,0.9885057471264368,0.7424740010946907,0.8367542419266557,0.861767925561029,0.9174329501915709,0.8394544002088195,87
100,100,5,87,0.9195402298850575,0.9425287356321839,0.9540229885057471,0.9885057471264368,0.7355774493705528,0.809168035030104,0.8684729064039409,0.9383415435139573,0.8507066993485344,87
100,100,6,87,0.8735632183908046,0.9540229885057471,0.9885057471264368,0.9885057471264368,0.7231253420908593,0.8181718664477285,0.8780514504652436,0.9193486590038314,0.840000639944536,87
100,100,7,87,0.8620689655172413,0.9540229885057471,0.9655172413793104,0.9885057471264368,0.7407498631636562,0.8149151614668856,0.8723043240284619,0.9100711548987411,0.8365640807189154,87
100,100,8,87,0.896551724137931,0.9540229885057471,0.9885057471264368,0.9885057471264368,0.7380678708264915,0.8133825944170772,0.8742200328407225,0.9327586206896552,0.8490083365998234,87
100,100,9,87,0.8390804597701149,0.9540229885057471,0.9655172413793104,0.9885057471264368,0.729064039408867,0.8070607553366174,0.8665571975916804,0.8944763729246488,0.822154028965756,87
100,100,10,87,0.8850574712643678,0.9540229885057471,0.9885057471264368,0.9885057471264368,0.753968253968254,0.8270662287903667,0.8703886152162014,0.925095785440613,0.8483257176423169,87
100,100,11,87,0.8505747126436781,0.9540229885057471,0.9655172413793104,0.9885057471264368,0.7185276409414341,0.7942255062944719,0.8646414887794198,0.9043240284619595,0.826554977575586,87
100,100,12,87,0.8850574712643678,0.9655172413793104,0.9770114942528736,0.9885057471264368,0.7415161466885605,0.8239189928845101,0.8655993431855501,0.9268199233716475,0.8429202197579921,87
100,100,13,87,0.8735632183908046,0.9540229885057471,0.9770114942528736,0.9885057471264368,0.7313628899835797,0.812807881773399,0.8655993431855501,0.9186918445539135,0.8336839568544702,87
100,100,14,87,0.8505747126436781,0.9540229885057471,0.9655172413793104,0.9885057471264368,0.7277230432402846,0.8027367268746579,0.8655993431855501,0.9064495530012772,0.8265765121372707,87
100,100,15,87,0.8505747126436781,0.9655172413793104,0.9770114942528736,0.9885057471264368,0.7453475643130816,0.8239189928845101,0.8742200328407225,0.907088122605364,0.8365551871496133,87
100,100,16,87,0.8735632183908046,0.9770114942528736,0.9885057471264368,0.9885057471264368,0.7440886699507389,0.8044608648056923,0.8646414887794198,0.9199233716475096,0.8336609918496052,87
100,100,17,87,0.9080459770114943,0.9655172413793104,0.9770114942528736,0.9885057471264368,0.7341269841269841,0.8142309797482211,0.8723043240284619,0.9396551724137931,0.8518480497992965,87
100,100,18,87,0.8850574712643678,0.9770114942528736,0.9885057471264368,0.9885057471264368,0.7383415435139573,0.8232348111658456,0.8742200328407225,0.9256704980842911,0.8376560251941619,87
100,100,19,87,0.896551724137931,0.9540229885057471,0.9540229885057471,0.9885057471264368,0.73232074438971,0.7856048166392994,0.8684729064039409,0.9285714285714286,0.8445885840145729,87
500,500,0,87,0.7816091954022989,0.8735632183908046,0.9195402298850575,0.9425287356321839,0.6454296661193213,0.7141215106732348,0.7786261631089217,0.8402298850574713,0.7418179032105359,87
500,500,1,87,0.7816091954022989,0.896551724137931,0.9310344827586207,0.9425287356321839,0.6507936507936508,0.7140120415982485,0.7810892172961138,0.8460727969348659,0.7515333235717824,87
500,500,2,87,0.7701149425287356,0.9080459770114943,0.9195402298850575,0.9425287356321839,0.651559934318555,0.7266830870279146,0.7987411056376573,0.8416803503010399,0.756228934448307,87
500,500,3,87,0.7241379310344828,0.9080459770114943,0.9310344827586207,0.9540229885057471,0.6392172961138478,0.7168308702791462,0.797783251231527,0.8128991060025543,0.731834075101004,87
500,500,4,87,0.7586206896551724,0.9080459770114943,0.9425287356321839,0.9655172413793104,0.6623973727422003,0.7484126984126984,0.7929939792008758,0.8377713920817369,0.7489562875552128,87
500,500,5,87,0.7471264367816092,0.9080459770114943,0.9425287356321839,0.9425287356321839,0.6569239189928845,0.7242747673782156,0.7846469622331691,0.8312260536398467,0.7382623991387732,87
500,500,6,87,0.7931034482758621,0.9310344827586207,0.9310344827586207,0.9425287356321839,0.665927750410509,0.7135467980295567,0.7753420908593323,0.8539272030651341,0.7484026585622765,87
500,500,7,87,0.7471264367816092,0.896551724137931,0.9310344827586207,0.9540229885057471,0.6578817733990148,0.7230432402846196,0.7865626710454297,0.827504105090312,0.7462116289360756,87
500,500,8,87,0.7931034482758621,0.9195402298850575,0.9425287356321839,0.9655172413793104,0.6593322386425835,0.7372194854953475,0.8006568144499179,0.8581736909323117,0.7573303229919938,87
500,500,9,87,0.7471264367816092,0.896551724137931,0.9310344827586207,0.9540229885057471,0.6604816639299398,0.7320470717022441,0.7894362342638205,0.8312579821200511,0.7461614132339387,87
500,500,10,87,0.7931034482758621,0.8850574712643678,0.9310344827586207,0.9540229885057471,0.6406403940886699,0.7287903667214012,0.7792008757525999,0.8511631089217296,0.7471238684108845,87
500,500,11,87,0.7931034482758621,0.8850574712643678,0.9310344827586207,0.9540229885057471,0.6455391351943076,0.7358784893267651,0.8025725232621784,0.850287356321839,0.7563567586124742,87
500,500,12,87,0.8160919540229885,0.9080459770114943,0.9310344827586207,0.9540229885057471,0.6394088669950739,0.7192118226600985,0.7910782703886152,0.8651340996168583,0.7586017380015129,87
500,500,13,87,0.7701149425287356,0.896551724137931,0.9195402298850575,0.9540229885057471,0.65415982484948,0.7185276409414341,0.7865626710454297,0.8385331143951834,0.7440968509621139,87
